repo,commit,url,time,cmd,summary,changed,missing,exts,langs,missing change?,reason
ChrisTitusTech/winutil,138c5de,https://github.com/ChrisTitusTech/winutil/commit/138c5de5d340a871de4c44eb6da8c1c6f5b45c71,0.17,iccheck -r ./repos/ChrisTitusTech/winutil --from 138c5de^ --to 138c5de,"1 chunks changed, 1 chunks missing change",https://github.com/ChrisTitusTech/winutil/blob/138c5de5d340a871de4c44eb6da8c1c6f5b45c71/functions/private/Uninstall-WinUtilEdgeBrowser.ps1#L62-L63,https://github.com/ChrisTitusTech/winutil/blob/138c5de5d340a871de4c44eb6da8c1c6f5b45c71/docs/dev/tweaks/z--Advanced-Tweaks---CAUTION/RemoveEdge.md#L161-L162,".md, .ps1",PowerShell,x,unrelated
mojs/mojs,39291b0,https://github.com/mojs/mojs/commit/39291b0d5fd65d6bc0c30aa5a839533f85b140ba,0.24,iccheck -r ./repos/mojs/mojs --from 39291b0^ --to 39291b0,"1 chunks changed, 1 chunks missing change",https://github.com/mojs/mojs/blob/39291b0d5fd65d6bc0c30aa5a839533f85b140ba/package-lock.json#L4312,https://github.com/mojs/mojs/blob/39291b0d5fd65d6bc0c30aa5a839533f85b140ba/package-lock.json#L8790,.json,,x,auto generated
android/architecture-samples,c51830a,https://github.com/android/architecture-samples/commit/c51830a7ca8fdfdf0856cf1f197ed7b38b23b541,0.07,iccheck -r ./repos/android/architecture-samples --from c51830a^ --to c51830a,"2 chunks changed, 1 chunks missing change","https://github.com/android/architecture-samples/blob/c51830a7ca8fdfdf0856cf1f197ed7b38b23b541/app/src/sharedTest/java/com/example/android/architecture/blueprints/todoapp/addedittask/AddEditTaskFragmentTest.kt#L21, https://github.com/android/architecture-samples/blob/c51830a7ca8fdfdf0856cf1f197ed7b38b23b541/app/src/sharedTest/java/com/example/android/architecture/blueprints/todoapp/tasks/TasksFragmentTest.kt#L23",https://github.com/android/architecture-samples/blob/c51830a7ca8fdfdf0856cf1f197ed7b38b23b541/app/src/androidTestMock/java/com/example/android/architecture/blueprints/todoapp/tasks/AppNavigationTest.kt#L21,.kt,Kotlin,x,auto generated
FelisCatus/SwitchyOmega,489e54f,https://github.com/FelisCatus/SwitchyOmega/commit/489e54ffee1061f59551f2e958d432df9338be10,0.59,iccheck -r ./repos/FelisCatus/SwitchyOmega --from 489e54f^ --to 489e54f,"1 chunks changed, 1 chunks missing change",https://github.com/FelisCatus/SwitchyOmega/blob/489e54ffee1061f59551f2e958d432df9338be10/omega-locales/fa/LC_MESSAGES/omega-web.po#L698,https://github.com/FelisCatus/SwitchyOmega/blob/489e54ffee1061f59551f2e958d432df9338be10/omega-locales/fa/LC_MESSAGES/omega-web.po#L640,.po,,x,unrelated
tgstation/tgstation,2077d9a2,https://github.com/tgstation/tgstation/commit/2077d9a27b2781cdd10c3f761b8d19bab3dcc6d7,14.33,iccheck -r ./repos/tgstation/tgstation --from 2077d9a2^ --to 2077d9a2,"1 chunks changed, 1 chunks missing change",https://github.com/tgstation/tgstation/blob/2077d9a27b2781cdd10c3f761b8d19bab3dcc6d7/code/_globalvars/traits/admin_tooling.dm#L235,https://github.com/tgstation/tgstation/blob/2077d9a27b2781cdd10c3f761b8d19bab3dcc6d7/code/_globalvars/traits/_traits.dm#L409,.dm,DM,o,cloned but consistent
tauri-apps/tauri,c072090,https://github.com/tauri-apps/tauri/commit/c072090ed86b958648444ef8b096b656872fe4ad,0.39,iccheck -r ./repos/tauri-apps/tauri --from c072090^ --to c072090,"1 chunks changed, 2 chunks missing change",https://github.com/tauri-apps/tauri/blob/c072090ed86b958648444ef8b096b656872fe4ad/Cargo.lock#L4534,"https://github.com/tauri-apps/tauri/blob/c072090ed86b958648444ef8b096b656872fe4ad/tooling/macos-sign/Cargo.lock#L717, https://github.com/tauri-apps/tauri/blob/c072090ed86b958648444ef8b096b656872fe4ad/examples/api/src-tauri/Cargo.lock#L3818",.lock,,x,auto generated
TerryCavanagh/VVVVVV,9986696,https://github.com/TerryCavanagh/VVVVVV/commit/998669660457fe19143ea111625d868e1bba6d66,16.43,iccheck -r ./repos/TerryCavanagh/VVVVVV --from 9986696^ --to 9986696,"1 chunks changed, 22 chunks missing change",https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/pt_BR/strings.xml#L316,"https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/pt_PT/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/es/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/en/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/ca/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/it/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/fr/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/es_AR/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/es_419/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/eo/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/de/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/cy/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/tr/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/pl/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/ga/strings.xml#L317, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/nl/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/szl/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/zh/strings.xml#L323, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/zh_TW/strings.xml#L323, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/ru/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/ar/strings.xml#L322, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/uk/strings.xml#L316, https://github.com/TerryCavanagh/VVVVVV/blob/998669660457fe19143ea111625d868e1bba6d66/desktop_version/lang/ko/strings.xml#L316",.xml,,o,cloned but consistent
ChrisTitusTech/winutil,da824d5,https://github.com/ChrisTitusTech/winutil/commit/da824d58a745ac74085ac87c31ef051718ed5c8d,14.65,iccheck -r ./repos/ChrisTitusTech/winutil --from da824d5^ --to da824d5,"1 chunks changed, 1 chunks missing change",https://github.com/ChrisTitusTech/winutil/blob/da824d58a745ac74085ac87c31ef051718ed5c8d/winutil.ps1#L2897,https://github.com/ChrisTitusTech/winutil/blob/da824d58a745ac74085ac87c31ef051718ed5c8d/functions/private/Set-WinUtilService.ps1#L29,.ps1,PowerShell,o,cloned but consistent
FelisCatus/SwitchyOmega,37fac41,https://github.com/FelisCatus/SwitchyOmega/commit/37fac4156be29551e0fed14b216a06b6dfc62f4e,1.85,iccheck -r ./repos/FelisCatus/SwitchyOmega --from 37fac41^ --to 37fac41,"1 chunks changed, 4 chunks missing change",https://github.com/FelisCatus/SwitchyOmega/blob/37fac4156be29551e0fed14b216a06b6dfc62f4e/omega-locales/tr/LC_MESSAGES/omega-web.po#L292,"https://github.com/FelisCatus/SwitchyOmega/blob/37fac4156be29551e0fed14b216a06b6dfc62f4e/omega-locales/is/LC_MESSAGES/omega-web.po#L273, https://github.com/FelisCatus/SwitchyOmega/blob/37fac4156be29551e0fed14b216a06b6dfc62f4e/omega-locales/nl/LC_MESSAGES/omega-web.po#L263, https://github.com/FelisCatus/SwitchyOmega/blob/37fac4156be29551e0fed14b216a06b6dfc62f4e/omega-locales/sk/LC_MESSAGES/omega-web.po#L272, https://github.com/FelisCatus/SwitchyOmega/blob/37fac4156be29551e0fed14b216a06b6dfc62f4e/omega-locales/sl/LC_MESSAGES/omega-web.po#L274",.po,,x,unrelated
phoenixframework/phoenix,be4eb9a,https://github.com/phoenixframework/phoenix/commit/be4eb9aea66078f647d33508f2bb5e1a7fa395df,26.03,iccheck -r ./repos/phoenixframework/phoenix --from be4eb9a^ --to be4eb9a,"1 chunks changed, 1 chunks missing change",https://github.com/phoenixframework/phoenix/blob/be4eb9aea66078f647d33508f2bb5e1a7fa395df/assets/package-lock.json#L10848-L10851,https://github.com/phoenixframework/phoenix/blob/be4eb9aea66078f647d33508f2bb5e1a7fa395df/assets/package-lock.json#L10026-L10029,.json,,x,auto generated
